Combined_Text,Item_Value,Item_Quantity,Taxes_Credit_%,Taxes_Credit_Amount,Month,Item_Description_Length,Item_Description_Word_Count,Has_Tax_Credit
"review of federal tax obligations business management consulting, except specialized technical consulting",2000,1,0,0.0,8,33,5,0
assistance with flight and hotel arrangements travel agencies,500,1,0,0.0,8,45,6,0
legal advisory in labor lawsuit legal services,2000,1,0,0.0,8,31,5,0
"consulting on zero-based budgeting business management consulting, except specialized technical consulting",15000,1,0,0.0,8,34,4,0
provision of 2 security guards for gate electronic security system monitoring activities,15000,1,0,0.0,8,39,7,0
electrical component type aaa retail trade of electrical materials,2000,1,30,600.0,8,29,4,1
consulting on internal controls retail trade of hardware and tools,5000,1,0,0.0,8,31,4,0
management software license it consulting,8500,1,0,0.0,8,27,3,0
executive recruitment building and residential cleaning,25000,1,0,0.0,8,21,2,0
spare part for machine x retail trade of household cleaning products,3200,2,20,1280.0,8,24,5,1
advertising campaign – q1 actuarial auditing and consulting,35000,1,0,0.0,8,25,4,0
"monthly rent – warehouse a business management consulting, except specialized technical consulting",15000,1,0,0.0,8,26,5,0
safety gloves retail trade of hardware and tools,120,50,20,1200.0,8,13,2,1
"digital campaign – january business management consulting, except specialized technical consulting",25000,1,0,0.0,8,26,4,0
corporate uniform – summer real estate property management and administration,150,100,0,0.0,8,26,4,0
chemical product a (20l) retail trade of fabrics,500,10,30,1500.0,8,24,4,1
corporate uniform – summer real estate property management and administration,150,100,0,0.0,8,26,4,0
assistance with flight and hotel arrangements travel agencies,500,1,0,0.0,8,45,6,0
provision of 2 security guards for gate electronic security system monitoring activities,15000,1,0,0.0,8,39,7,0
electrical component type aaa retail trade of electrical materials,2000,1,30,600.0,8,29,4,1
leadership training professional and managerial development training,5000,1,0,0.0,8,19,2,0
"office supplies (batch) commercial representatives and agents of wood, construction materials, and hardware",1200,1,0,0.0,8,23,3,0
payment processing fee advertising consulting,1200,1,0,0.0,8,22,3,0
monthly cleaning – headquarters advertising agencies,4500,1,0,0.0,8,31,4,0
industrial detergent (5l) other business support services not elsewhere classified,80,10,0,0.0,8,25,3,0
